team,role,category,players_seen,n_matches,teamfight_participation_mean,teamfight_participation_variance,roshan_kills_mean,roshan_kills_variance,stuns_seconds_mean,stuns_seconds_variance,first_blood_mean,first_blood_variance,courier_kills_mean,courier_kills_variance,tormentor_participate_mean,tormentor_participate_variance
Team Yandex,carry,green,医者watson`,17,0.5749574652941176,0.024987552227291713,0.5294117647058824,0.3897058823529412,18.14343816470588,388.3838628938842,0.11764705882352941,0.11029411764705882,0.4117647058823529,0.38235294117647056,0.23529411764705882,0.3161764705882353
Team Falcons,carry,green,skiter,17,0.5767176211764706,0.0190840150093551,0.8823529411764706,0.6102941176470589,29.070800476470588,1016.0746674014708,0.11764705882352941,0.11029411764705882,0.35294117647058826,0.36764705882352944,1.2941176470588236,1.0955882352941178
LGD Gaming,carry,green,Yuma,16,0.669522345,0.011513293946784239,0.8125,0.8291666666666667,29.12497329375,903.7037556509621,0.1875,0.1625,0.375,0.5166666666666667,1.1875,0.9625
Iron Wing,carry,green,Pure,16,0.641471854375,0.017054312093512665,1.0625,1.1291666666666667,22.63706725,776.0834044826265,0.1875,0.1625,0.3125,0.3625,0.75,0.4666666666666667
Team Resilience,carry,green,YSR-04E,16,0.558176908125,0.057698461053257474,0.8125,1.0958333333333334,12.59451503125,335.5615849985054,0.0625,0.0625,0.3125,0.3625,1.125,0.7833333333333333
GamerLegion,carry,green,Ghost,14,0.5566070564285714,0.00969280105118584,0.8571428571428571,1.054945054945055,22.157276335714286,529.8104485605504,0.14285714285714285,0.13186813186813187,0.07142857142857142,0.07142857142857142,0.35714285714285715,0.4010989010989011
Team Spirit,carry,green,Yatoro,14,0.5992732264285714,0.03133835485219049,0.7857142857142857,0.6428571428571429,24.75723520714286,2751.8768423039546,0.14285714285714285,0.13186813186813187,0.35714285714285715,0.4010989010989011,1.2857142857142858,1.2967032967032968
Aurora Gaming,carry,green,Nightfall,14,0.6192057664285714,0.02615700775402236,0.7857142857142857,0.7967032967032966,21.687962957142858,457.7810826437781,0.07142857142857142,0.07142857142857142,0.42857142857142855,0.4175824175824176,0.7857142857142857,0.6428571428571429
BoomBoys,carry,green,Kiritych~,14,0.6308716692857143,0.025239648146040194,1.0714285714285714,0.8406593406593407,17.138252892857142,224.39638375830668,0.21428571428571427,0.1813186813186813,0.21428571428571427,0.1813186813186813,0.7142857142857143,1.2967032967032968
Vici Gaming,carry,green,shiro,14,0.7072365514285714,0.02003515126992714,0.8571428571428571,0.9010989010989011,18.4990575,194.54185558338466,0,0,0.14285714285714285,0.13186813186813187,0.7142857142857143,0.37362637362637363
Team Liquid,carry,green,m1CKe,14,0.5343456385714286,0.026012256469010505,0.8571428571428571,0.43956043956043955,20.864229857142856,208.0314122040678,0.14285714285714285,0.13186813186813187,0.14285714285714285,0.13186813186813187,1.3571428571428572,1.1703296703296704
Xtreme Gaming,carry,green,Ame,11,0.52402353,0.031557842210453504,0.5454545454545454,0.6727272727272727,10.47563920909091,383.08379396807055,0,0,0.18181818181818182,0.16363636363636364,0.36363636363636365,0.45454545454545453
OG,carry,green,Natsumi,11,0.5669115027272728,0.028460991188360363,1.1818181818181819,1.3636363636363635,15.906292927272727,236.98163979996974,0,0,0.18181818181818182,0.16363636363636364,0.9090909090909091,0.6909090909090909
Nigma Galaxy ,carry,green,SumaiL-,10,0.629406687,0.0630451228778468,0.8,0.4,26.886654699999998,795.4280045837066,0,0,0,0,0.4,0.26666666666666666
TEAM VISION,carry,green,Satanic,10,0.678534527,0.004001389220631915,0.9,0.7666666666666667,20.80029705,1029.2862712842937,0.3,0.23333333333333334,0,0,0.3,0.23333333333333334
HULIGANI,carry,green,ssnovv1,10,0.61072658,0.02832738002945749,0.9,0.9888888888888889,8.993171,113.81331786518311,0.2,0.17777777777777778,0.1,0.1,0.6,0.4888888888888889
